	mmu-miR-3107-5p	mmu-miR-1a-3p	rno-miR-133a-3p	mmu-miR-574-3p	rno-miR-20b-5p	rno-let-7i-5p	mmu-miR-224-5p	rno-miR-16-5p	mmu-miR-683
G1-R1	NA	NA	NA	NA	NA	0,134669962	0	0,9982686326	0
G1-R2	NA	NA	NA	NA	NA	0,160150477	0	0,9982686326	0
G1-R3	NA	NA	NA	NA	NA	0,1772879844	0	1,0028922879	0
G2-R1	0	NA	NA	0,0031746942	0	0,0252221196	0	1,0005777895	0
G2-R2	1,05006148663945E-005	NA	NA	0,003908507	0	0,0384954924	0	1,0005777895	0
G2-R3	0	NA	NA	0,0053887511	0	0,0396692977	0	1,0028922879	0
G3-R1	0	NA	0	0,0050511701	0	0,023209083	0	1,0005777895	0
G3-R2	0	NA	0	0,003999864	0	0,0269077705	0	1,0028922879	0
G3-R3	NA	NA	0	0,0031237615	0	0,0368421228	0	0,9982686326	0
G4-R1	NA	NA	0	0,0031600578	0	0,0365031979	0	1,0028922879	0
G4-R2	NA	NA	0	0,0040091163	0	0,0368421228	0	0,9982686326	0
G4-R3	NA	NA	0	0,0029011354	0	0,0371841946	0	1,0005777895	0
